date,close_price
2021-07,52.5
2021-08,49.3
2021-09,44.9
2021-10,42.7
2021-11,43.0
2021-12,44.5
2022-01,51.2
2022-02,56.8
2022-03,58.5
2022-04,59.0
2022-05,58.2
2022-06,59.5
2022-07,58.0
2022-08,57.5
2022-09,57.8
2022-10,58.2
2022-11,57.5
2022-12,56.8
2023-01,55.8
2023-02,56.5
2023-03,57.0
2023-04,57.8
2023-05,60.0
2023-06,66.5
2023-07,68.2
2023-08,69.1
2023-09,73.5
2023-10,75.8
2023-11,75.2
2023-12,76.8
2024-01,76.5
2024-02,78.2
2024-03,82.5
2024-04,90.8
2024-05,99.5
2024-06,93.8
2024-07,91.2
2024-08,92.0
2024-09,92.8
2024-10,96.5
2024-11,100.5
2024-12,96.2
2025-01,94.5
2025-02,93.8
2025-03,95.2
2025-04,97.8
2025-05,100.2
2025-06,98.5
2025-07,97.2
2025-08,96.8
2025-09,95.5
2025-10,94.2
2025-11,93.5
2025-12,92.8
2026-01,78.0
2026-02,79.5
2026-03,82.0
2026-04,80.3
2026-05,81.0
2026-06,82.0
2026-07,91.0
